Level,Date and Time,Source,Event ID,Task Category
Information,1/30/2020 11:50:04 AM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/30/2020 11:50:04 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/30/2020 11:50:04 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRD29V9-MICROSOFT.MICROSOFTOFFICEHUB
Information,1/30/2020 11:49:59 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRD29V9-MICROSOFT.MICROSOFTOFFICEHUB
Information,1/30/2020 11:49:59 AM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/30/2020 11:49:59 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Error,1/30/2020 11:49:59 AM,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFHVQM-MICROSOFT.WINDOWSCOMMUNICATIONSAPPS.
Information,1/30/2020 11:49:59 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFHVQM-MICROSOFT.WINDOWSCOMMUNICATIONSAPPS
Information,1/30/2020 11:49:56 AM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/30/2020 11:49:56 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/30/2020 11:49:56 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/30/2020 11:49:56 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/30/2020 10:05:40 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 5 updates.
Information,1/30/2020 10:05:34 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 5 updates.
Information,1/30/2020 10:02:59 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3275.0)
Information,1/30/2020 10:02:48 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3275.0)
Information,1/30/2020 10:02:48 AM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/30/2020 10:02:48 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/30/2020 10:02:48 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 1 updates.
Information,1/30/2020 10:02:48 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 3 updates.
Information,1/30/2020 2:01:38 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,1/30/2020 2:01:34 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,1/29/2020 3:20:22 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 0 updates.
Information,1/29/2020 3:20:22 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 0 updates.
Information,1/29/2020 11:11:33 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 1 updates.
Information,1/29/2020 11:11:33 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 2 updates.
Information,1/29/2020 10:22:52 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3222.0)
Information,1/29/2020 10:22:43 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3222.0)
Information,1/29/2020 10:22:43 AM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/29/2020 10:22:43 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/29/2020 10:22:43 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 0 updates.
Information,1/29/2020 10:22:43 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 1 updates.
Information,1/29/2020 12:44:20 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,1/29/2020 12:44:18 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,1/28/2020 8:24:28 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp
Information,1/28/2020 8:24:28 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NBLGGH4LS1F-Microsoft.StorePurchaseApp
Information,1/28/2020 8:24:28 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NBLGGH1ZRPV-KING.COM.CANDYCRUSHSODASAGA
Information,1/28/2020 8:24:23 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/28/2020 8:24:23 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NBLGGH1ZRPV-KING.COM.CANDYCRUSHSODASAGA
Information,1/28/2020 8:24:23 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/28/2020 8:24:23 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFJBMP-MICROSOFT.WINDOWSSTORE
Information,1/28/2020 8:24:23 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFJBMP-MICROSOFT.WINDOWSSTORE
Information,1/28/2020 8:24:20 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/28/2020 8:24:20 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/28/2020 8:24:20 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFHVJL-MICROSOFT.OFFICE.ONENOTE
Information,1/28/2020 8:24:20 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFHVJL-MICROSOFT.OFFICE.ONENOTE
Information,1/28/2020 8:24:20 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/28/2020 8:24:16 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Error,1/28/2020 8:24:16 PM,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFHVQM-MICROSOFT.WINDOWSCOMMUNICATIONSAPPS.
Information,1/28/2020 8:24:16 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFHVQM-MICROSOFT.WINDOWSCOMMUNICATIONSAPPS
Information,1/28/2020 8:24:16 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/28/2020 8:24:11 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/28/2020 8:24:11 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFJ3PT-MICROSOFT.ZUNEMUSIC
Information,1/28/2020 8:24:11 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFJ3PT-MICROSOFT.ZUNEMUSIC
Information,1/28/2020 8:24:11 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/28/2020 8:24:02 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/28/2020 8:24:02 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/28/2020 8:24:02 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/28/2020 8:09:03 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 6 updates.
Information,1/28/2020 8:09:03 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 6 updates.
Information,1/28/2020 1:05:11 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,1/28/2020 1:05:09 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,1/27/2020 8:50:25 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3141.0)
Information,1/27/2020 8:50:18 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3141.0)
Information,1/27/2020 8:50:13 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/27/2020 8:50:13 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/27/2020 8:50:13 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 0 updates.
Information,1/27/2020 8:50:13 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 1 updates.
Information,1/27/2020 8:40:14 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Update for Windows Defender Antivirus antimalware platform - KB4052623 (Version 4.18.2001.6)
Information,1/27/2020 8:40:05 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Update for Windows Defender Antivirus antimalware platform - KB4052623 (Version 4.18.2001.6)
Information,1/27/2020 8:40:00 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,The system has resumed from sleep.
Information,1/27/2020 8:40:00 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,"The system is entering sleep.

Sleep Reason: Application API"
Information,1/27/2020 8:40:00 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/27/2020 8:40:00 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/27/2020 8:40:00 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 0 updates.
Information,1/27/2020 8:40:00 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 2 updates.
Information,1/27/2020 7:01:55 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,1/27/2020 7:01:52 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: System Idle"
Information,1/27/2020 4:43:52 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 0 updates.
Information,1/27/2020 4:28:21 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3125.0)
Information,1/27/2020 4:28:08 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3125.0)
Information,1/27/2020 4:28:03 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/27/2020 4:28:03 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/27/2020 4:28:03 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 1 updates.
Information,1/27/2020 4:28:03 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 2 updates.
Information,1/27/2020 10:37:07 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 17 updates.
Information,1/27/2020 10:37:07 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 0 updates.
Information,1/27/2020 2:26:42 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,1/27/2020 2:26:39 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,1/27/2020 1:07:14 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NMPJ99VJBWV-Microsoft.YourPhone
Information,1/27/2020 1:07:08 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NMPJ99VJBWV-Microsoft.YourPhone
Information,1/27/2020 1:07:08 AM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.299.1918.0)
Information,1/27/2020 1:07:08 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NBLGGH537C2-Microsoft.XboxGameOverlay
Information,1/27/2020 1:07:08 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NBLGGH537C2-Microsoft.XboxGameOverlay
Information,1/27/2020 1:07:08 AM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.299.1918.0)
Information,1/27/2020 1:07:05 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/27/2020 1:07:05 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/26/2020 5:00:01 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3066.0)
Information,1/26/2020 4:59:50 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3066.0)
Information,1/26/2020 4:59:50 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,Windows Update started downloading an update.
Information,1/26/2020 4:59:50 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/26/2020 4:59:50 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 1 updates.
Information,1/26/2020 4:59:50 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 2 updates.
Information,1/26/2020 1:52:01 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 2 updates.
Information,1/26/2020 1:52:01 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 2 updates.
Information,1/25/2020 6:09:35 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,1/25/2020 6:09:32 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: System Idle"
Information,1/25/2020 5:43:50 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3032.0)
Information,1/25/2020 5:43:40 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3032.0)
Information,1/25/2020 5:43:40 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/25/2020 5:43:40 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/25/2020 5:43:40 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 1 updates.
Information,1/25/2020 5:43:40 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 2 updates.
Information,1/25/2020 4:39:26 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3019.0)
Information,1/25/2020 4:39:16 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3019.0)
Information,1/25/2020 4:39:16 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/25/2020 4:39:16 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/25/2020 4:39:16 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 0 updates.
Information,1/25/2020 4:39:16 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 1 updates.
Information,1/25/2020 1:07:39 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,1/25/2020 1:07:36 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: System Idle"
Information,1/25/2020 10:03:56 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3010.0)
Information,1/25/2020 10:03:47 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.3010.0)
Information,1/25/2020 10:03:47 AM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/25/2020 10:03:47 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/25/2020 10:03:47 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 0 updates.
Information,1/25/2020 10:03:47 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 1 updates.
Information,1/24/2020 9:03:30 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,1/24/2020 9:03:27 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: System Idle"
Information,1/24/2020 8:07:10 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: A-Volute - SoftwareComponent - 1.6.1.0
Information,1/24/2020 8:07:10 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: A-Volute - SoftwareComponent - 1.6.1.0
Information,1/24/2020 8:07:10 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/24/2020 8:07:10 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/24/2020 9:30:38 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.2945.0)
Information,1/24/2020 9:30:27 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.307.2945.0)
Information,1/24/2020 9:30:27 AM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/24/2020 9:30:27 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
